column_index,client_type,distinct_values,field_name,confidence,evidence,note,top_values
34,s16,5,second_grade_4_rank_1,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 7(6) 16(3) 21(1)
35,s16,5,second_grade_4_rank_2,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 8(6) 16(3) 22(1)
36,s16,5,second_grade_4_rank_3,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 9(6) 17(3) 23(1)
37,s16,5,second_grade_4_rank_4,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 10(6) 18(3) 25(1)
38,s32,10,grade_1_icon_id,high,itemData.36 icon range,"one icon per grade, in the 61xxx materia range",61652(12) 61656(12) 61636(11) 61620(9)
39,s32,10,grade_2_icon_id,high,itemData.36 icon range,"one icon per grade, in the 61xxx materia range",61653(12) 61657(12) 61637(11) 61621(9)
40,s32,10,grade_3_icon_id,high,itemData.36 icon range,"one icon per grade, in the 61xxx materia range",61654(12) 61658(12) 61638(11) 61622(9)
41,s32,10,grade_4_icon_id,high,itemData.36 icon range,"one icon per grade, in the 61xxx materia range",61655(12) 61659(12) 61639(11) 61623(9)
42,bool,2,meldable_into_head,high,GE meld_slots,true where GE lists Head in meld_slots; agreement >= 0.9922 over 256 joined items,false(57) true(9)
43,bool,2,meldable_into_body,high,GE meld_slots,true where GE lists Body in meld_slots; agreement >= 0.9922 over 256 joined items,false(53) true(13)
44,bool,2,meldable_into_hands,high,GE meld_slots,true where GE lists Hands in meld_slots; agreement >= 0.9922 over 256 joined items,false(54) true(12)
45,bool,2,meldable_into_legs,high,GE meld_slots,true where GE lists Legs in meld_slots; agreement >= 0.9922 over 256 joined items,false(53) true(13)
46,bool,2,meldable_into_feet,high,GE meld_slots,true where GE lists Feet in meld_slots; agreement >= 0.9922 over 256 joined items,false(52) true(14)
47,bool,2,meldable_into_waist,high,GE meld_slots,true where GE lists Waist in meld_slots; agreement >= 0.9922 over 256 joined items,false(54) true(12)
48,bool,2,meldable_into_pugilist_arm,high,GE meld_slots,true where GE lists Pugilist's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(55) true(11)
49,bool,2,meldable_into_gladiator_arm,high,GE meld_slots,true where GE lists Gladiator's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(59) true(7)
50,bool,2,meldable_into_marauder_arm,high,GE meld_slots,true where GE lists Marauder's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(58) true(8)
51,bool,2,meldable_into_lancer_arm,high,GE meld_slots,true where GE lists Lancer's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(59) true(7)
52,bool,2,meldable_into_archer_arm,high,GE meld_slots,true where GE lists Archer's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(59) true(7)
53,bool,2,meldable_into_shield,high,GE meld_slots,true where GE lists Shield in meld_slots; agreement >= 0.9922 over 256 joined items,false(57) true(9)
54,bool,2,meldable_into_conjurer_arm,high,GE meld_slots,true where GE lists Conjurer's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(59) true(7)
55,bool,2,meldable_into_two-handed_conjurer_arm,high,GE meld_slots,true where GE lists Two-Handed Conjurer's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(54) true(12)
56,bool,2,meldable_into_thaumaturge_arm,high,GE meld_slots,true where GE lists Thaumaturge's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(59) true(7)
57,bool,2,meldable_into_two-handed_thaumaturge_arm,high,GE meld_slots,true where GE lists Two-Handed Thaumaturge's Arm in meld_slots; agreement >= 0.9922 over 256 joined items,false(54) true(12)
58,bool,2,meldable_into_carpenter_primary_tool,high,GE meld_slots,true where GE lists Carpenter's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
59,bool,2,meldable_into_blacksmith_primary_tool,high,GE meld_slots,true where GE lists Blacksmith's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
60,bool,2,meldable_into_armorer_primary_tool,high,GE meld_slots,true where GE lists Armorer's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
61,bool,2,meldable_into_goldsmith_primary_tool,high,GE meld_slots,true where GE lists Goldsmith's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
62,bool,2,meldable_into_leatherworker_primary_tool,high,GE meld_slots,true where GE lists Leatherworker's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
63,bool,2,meldable_into_weaver_primary_tool,high,GE meld_slots,true where GE lists Weaver's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
64,bool,2,meldable_into_alchemist_primary_tool,high,GE meld_slots,true where GE lists Alchemist's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
65,bool,2,meldable_into_culinarian_primary_tool,high,GE meld_slots,true where GE lists Culinarian's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
66,bool,2,meldable_into_miner_primary_tool,high,GE meld_slots,true where GE lists Miner's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
67,bool,2,meldable_into_botanist_primary_tool,high,GE meld_slots,true where GE lists Botanist's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
68,bool,2,meldable_into_fisher_primary_tool,high,GE meld_slots,true where GE lists Fisher's Primary Tool in meld_slots; agreement >= 0.9922 over 256 joined items,false(61) true(5)
69,bool,2,meldable_into_carpenter_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
70,bool,2,meldable_into_blacksmith_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
71,bool,2,meldable_into_armorer_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
72,bool,2,meldable_into_goldsmith_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
73,bool,2,meldable_into_leatherworker_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
74,bool,2,meldable_into_weaver_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
75,bool,2,meldable_into_alchemist_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
76,bool,2,meldable_into_culinarian_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
77,bool,2,meldable_into_miner_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
78,bool,2,meldable_into_botanist_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
79,bool,2,meldable_into_fisher_secondary_tool,low,position only,"assigned by position, NOT measured: this column is byte-identical to 10 others (69,70,71,72,73,74,75,76,77,78,79), so no test can tell them apart",false(60) true(6)
