client_display_name,actor_id_count,actor_ids,client_race_id,client_race_name,client_race_block,likely_cause,ge_npc_page,ge_npc_zones
bandit lancer,1,2289032,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
bandit mage,7,2180131 2180132 2180163 2180164 2180165 2280143 2280144,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit marksman,1,2180130,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit pathfinder,1,2280165,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit scout,1,2280164,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit skirmisher,2,2280137 2280138,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit sorceror,1,2180133,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
baraquel,1,2203504,1035,Gargoyle,,named-boss-gap,,
bat,3,2104110 2204107 2204108,1041,Bat,,race-name-only,,
battle wolf,1,2101423,1014,Wolf/Hyena/Hellhound,,ge-gap,,
bee swarm,1,2105313,1053,Swarm,,ge-gap,,
befuddled bat,1,2204109,1041,Bat,,ge-gap,,
beleaguered botanist,1,2290046,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Beleaguered Botanist,
big-bellied orobon,1,2204509,1045,Angler,,ge-gap,,
billygoat,1,2102312,1023,Aldgoats,,ge-gap,,
bison,2,2100802 2200802,1008,Buffalo,,ge-gap,,
bizarre blacksmith,1,2290023,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Bizarre Blacksmith,
black crow archer,2,2180215 2180216,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
blood-eyed buzzard,2,2201201 2201202,1012,Vulture,,ge-gap,,
bloodhound,1,2201417,1014,Wolf/Hyena/Hellhound,,ge-gap,,
bloodshore eft,1,2101303,1013,Salamander,,ge-gap,,
bloodsucker,1,2104211,1042,Slug,,ge-gap,,
blue dewflower sylph,1,2206706,1067,Sylph,,ge-gap,,
boar,2,2101511 2201504,1015,Boar,,race-name-only,,
boar poacher,3,2280128 2280129 2280130,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bombard,2,2201606 2201611,1016,Bomb,,named-boss-gap,Bombard,"South Shroud, Lower La Noscea, Southern Thanalan"
bombard king,2,2201607 2201612,1016,Bomb,,ge-gap,Bombard King,"South Shroud, Lower La Noscea, Southern Thanalan"
bonny,1,2210509,1105,チョコボ,,mount-or-companion,Bonny,Western Thanalan
brazen-faced broker,2,2290024 2290028,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
brontes,1,2210702,1107,サイクロプス,,named-boss-gap,,
brutal karakul ewe,1,2206011,1060,Sheep,,ge-gap,,
brutal karakul ram,1,2206012,1060,Sheep,,ge-gap,,
bryce the bold,1,2289020,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
burchard,1,2290019,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Burchard,Gridania
burned scrivner,1,2162060,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
burned sister,1,2162038,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
butch,1,2210513,1105,チョコボ,,mount-or-companion,Butch,North Shroud
butcher basilisk,1,2200705,1007,Basilisk,,ge-gap,,
carbonized coblyn,1,2202115,1021,Coblyn,,ge-gap,,
carnivorous cassiopeia,1,2205410,1054,Jellyfish,,ge-gap,,
cave crab,1,2207609,1076,Crab,,ge-gap,,
cave yarzon,1,2205519,1055,Yarzon,,ge-gap,,
charledore the steadfast,1,2289025,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
chasm condor,1,2101206,1012,Vulture,,ge-gap,,
chimera,1,2308701,1087,キマイラ (仮),,race-name-only,,
chirada,1,2209515,1095,Garuda,,named-boss-gap,,
chitinous coblyn,2,2202104 2202105,1021,Coblyn,,ge-gap,,
choc,1,2210504,1105,チョコボ,,mount-or-companion,Choc,South Shroud
choca,1,2210506,1105,チョコボ,,mount-or-companion,Choca,South Shroud
choco,1,2210505,1105,チョコボ,,mount-or-companion,Choco,South Shroud
cinderwing,1,2101208,1012,Vulture,,ge-gap,,
clay golem,1,2208903,1089,Golem (1.2),,ge-gap,,
clever dodo,1,2202011,1020,Cockatrice,,ge-gap,,
cliff yarzon,1,2205509,1055,Yarzon,,ge-gap,,
cloud dragon,1,2208101,1081,エリマキトカゲ (仮),,ge-gap,,
coblyn,3,2102125 2102126 2202109,1021,Coblyn,,race-name-only,,
coco,1,2210502,1105,チョコボ,,mount-or-companion,,
coerthas spriggan,1,2206207,1062,Spriggan,,ge-gap,,
coeurl,1,2203204,1032,Couerl,,race-name-only,,
coincounter,3,2110701 2110702 2310701,1107,サイクロプス,,named-boss-gap,,
colbert the cunning,1,2289019,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
coliseum mite,1,2201108,1011,Crab,,ge-gap,,
coliseum yarzon,1,2205517,1055,Yarzon,,ge-gap,,
corridor condor,2,2201203 2201204,1012,Vulture,,ge-gap,,
courting banemite,1,2201112,1011,Crab,,ge-gap,,
courting diremite,1,2201111,1011,Crab,,ge-gap,,
crab,1,2107615,1076,Crab,,race-name-only,,
curious pteroc,1,2200110,1001,Puk,,ge-gap,,
daring harrier,2,2180135 2180136,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
dart slug,1,2204211,1042,Slug,,ge-gap,,
dastardly devilet,2,2102607 2102608,1026,Imp,,ge-gap,,
deadly dormouse,2,2104016 2104020,1040,Rat,,ge-gap,,
deadly nightshade,1,2202714,1027,Flytrap,,ge-gap,,
death-marked billygoat,1,2202303,1023,Aldgoats,,ge-gap,,
deepground angler,1,2204508,1045,Angler,,ge-gap,,
deepsea angler,1,2204507,1045,Angler,,ge-gap,,
deepvoid butcher,2,2103504 2103505,1035,Gargoyle,,ge-gap,,
deepvoid slave,3,2102507 2102508 2302501,1025,Ogre,,ge-gap,,
delinquent sylph,8,2206707 2206708 2206709 2206710 2206711 2206712 2206713 2206714,1067,Sylph,,ge-gap,,
denston,1,2290044,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
desert rose,2,2100909 2100913,1009,Sabotender,,ge-gap,,
diaphanous doblyn,2,2202107 2202108,1021,Coblyn,,ge-gap,,
djigga,1,2205609,1056,Chigoe,,ge-gap,,
doblyn,1,2202110,1021,Coblyn,,ge-gap,,
doe,3,2100310 2200305 2200308,1003,Antelope,,ge-gap,,
dragon,4,2106801 2106802 2106803 2106804,1068,Dragon,,race-name-only,,
draught drake,1,2102202,1022,Drake,,ge-gap,,
dung gnat,1,2200603,1006,Gnat,,ge-gap,,
dung midge swarm,2,2105311 2105312,1053,Swarm,,ge-gap,,
dusk bat,1,2104104,1041,Bat,,ge-gap,,
earth homunculus,2,2104907 2104908,1049,Earth Elemental,,ge-gap,,
easygoing adventurer,2,2290026 2290030,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
eft,3,2101301 2101302 2101319,1013,Salamander,,ge-gap,,
eft poacher,5,2180119 2180120 2180121 2180159 2180160,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
elder goobbue,1,2103304,1033,Goobbue,,ge-gap,,
elemental,1,2205203,1052,Elemental,,race-name-only,,
elite sagittarius,2,2180018 2280068,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
emerick,1,2290011,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Emerick,Limsa Lominsa
enraged nannygoat,1,2202307,1023,Aldgoats,,ge-gap,,
errant spirit,1,2104306,1043,Ghost,,ge-gap,,
escaped lemming,1,2204005,1040,Rat,,ge-gap,,
f'lhaminn,1,2290008,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,F'lhaminn,
fang,1,2203203,1032,Couerl,,named-boss-gap,,
farrimond,1,2290018,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
fire homunculus,1,2104607,1046,Fire Elemental,,ge-gap,,
flame scout,1,2290052,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
flan,6,2103403 2103404 2203401 2203402 2203403 2203404,1034,Flan,,race-name-only,,
fledgling apkallu,3,2102906 2102907 2102908,1029,Apkallu,,ge-gap,,
fleet-footed footpad,1,2280102,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
fleet-footed highwayman,1,2280104,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
fleet-footed raider,1,2280106,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
flickering firefly,1,2205805,1058,Firefly,,ge-gap,,
forest familiar,1,2204011,1040,Rat,,ge-gap,,
frenzied anemone,1,2205406,1054,Jellyfish,,ge-gap,,
frightened crab,1,2207613,1076,Crab,,ge-gap,,
frightened foreman,1,2290047,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
funguar,2,2105913 2205905,1059,Funguar,,race-name-only,,
fyrilskyf,1,2290041,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
galago,2,2100511 2200506,1005,Opo-opo,,ge-gap,,
gargoyle,5,2103501 2103502 2103503 2203501 2203502,1035,Gargoyle,,race-name-only,,
gilly,1,2210507,1105,チョコボ,,mount-or-companion,Gilly,Western Thanalan
giltrap,1,2302703,1027,Flytrap,,ge-gap,,
gnat,3,2100611 2200604 2200605,1006,Gnat,,race-name-only,,
gnattrap,1,2102711,1027,Flytrap,,ge-gap,,
gnawing gnat,1,2100609,1006,Gnat,,ge-gap,,
go zu's sword bearer,1,2206624,1066,Kobold,,ge-gap,,
goblin,3,2110314 2210301 2210302,1103,Goblin,,race-name-only,,
goblin bushwhacker,1,2110310,1103,Goblin,,ge-gap,,
goblin butcher,2,2110307 2110308,1103,Goblin,,ge-gap,,
goblin robber,1,2210303,1103,Goblin,,ge-gap,,
goldfang adebb chah,1,2206515,1065,Amlaj'aa,,ge-gap,,
golem,2,2208901 2208902,1089,Golem (1.2),,race-name-only,,
golem tender,3,2206211 2206212 2206213,1062,Spriggan,,ge-gap,,
good king moggle mog xii,1,2210408,1104,モーグリ,,ge-gap,,
greedy orobon,1,2204503,1045,Angler,,ge-gap,,
greinfarr,1,2290014,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Greinfarr,Ul'dah
grinnaux,1,2290015,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Grinnaux,Gridania
handeloup,1,2290016,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Handeloup,Gridania
headsman's hex,1,2106473,1064,Ixal,,ge-gap,,
headsman's lance,1,2106452,1064,Ixal,,ge-gap,,
hearty victual,1,2304202,1042,Slug,,ge-gap,,
hedgeless hedgemole,1,2205712,1057,Hedgemole,,ge-gap,,
hellbringer c'kepaga,1,2289021,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
hellhound,2,2109801 2209801,1098,カーシー (仮),,ge-gap,,
herald imp,2,2102603 2102604,1026,Imp,,ge-gap,,
heretical harrier,3,2280148 2280149 2280150,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
hexing harrier,2,2180140 2180141,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
highland condor,1,2101207,1012,Vulture,,ge-gap,,
hog,2,2101510 2201503,1015,Boar,,ge-gap,,
hooknosed wylla,1,2280134,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
hurrey,1,2290022,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Hurrey,
immortal bladedancer,1,2289026,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
immortal lightspinner,1,2289027,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
immortal shadowspinner,1,2289029,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
immortal speardancer,1,2289028,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
imp,4,2102601 2102602 2102610 2202607,1026,Imp,,race-name-only,,
imperial bestiarius,2,2280017 2280026,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
imperial centurion,6,2107002 2207001 2207004 2207006 2207008 2207009,1070,Imperial,,ge-gap,,
imperial funditor,2,2280018 2280027,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
imperial guy,1,2207003,1070,Imperial,,ge-gap,,
imperial imaginifer,1,2280028,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
imperial sagittarius,8,2180017 2180031 2180032 2280006 2280039 2280044 2280062 2380006,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
imperial trooper,16,2180001 2180002 2180003 2180004 2180005 2180006 2180007 2180008,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
impstool,1,2105908,1059,Funguar,,ge-gap,,
iron-fisted pugilist,2,2290025 2290029,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
isle nettle,1,2105416,1054,Jellyfish,,ge-gap,,
isleguard agid westwood,1,2290096,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
ixali boldwing,3,2106441 2106442 2106443,1064,Ixal,,ge-gap,,
ixali bombardier,1,2206403,1064,Ixal,,ge-gap,,
ixali cloudwalker,1,2206411,1064,Ixal,,ge-gap,,
ixali duelist,5,2106403 2106404 2106405 2106406 2106407,1064,Ixal,,ge-gap,,
ixali fatecaller,3,2106420 2106421 2106422,1064,Ixal,,ge-gap,,
ixali gladiator,1,2106402,1064,Ixal,,ge-gap,,
ixali limbcutter,1,2206409,1064,Ixal,,ge-gap,,
ixali point,3,2206418 2206420 2206421,1064,Ixal,,ge-gap,,
ixali soilseer,1,2206410,1064,Ixal,,ge-gap,,
ixali swiftbeak,3,2106432 2106433 2106434,1064,Ixal,,ge-gap,,
ixali swordfighter,4,2106426 2106427 2106428 2206404,1064,Ixal,,ge-gap,,
ixali warrior,6,2106408 2106409 2106410 2206405 2206406 2206407,1064,Ixal,,ge-gap,,
jackal,2,2101415 2201419,1014,Wolf/Hyena/Hellhound,,ge-gap,,
karakul,2,2106019 2206016,1060,Sheep,,ge-gap,,
karakul ram,1,2206008,1060,Sheep,,ge-gap,,
keelty,1,2290032,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Keelty,Gridania
kikkiroon irongut,1,2206305,1063,Qiqirn,,ge-gap,,
kobold,4,2106605 2106606 2206603 2206604,1066,Kobold,,race-name-only,,
kobold cragsman,1,2206606,1066,Kobold,,ge-gap,,
kobold foreman,3,2206609 2206611 2206612,1066,Kobold,,ge-gap,,
kobold priest,5,2106603 2206618 2206619 2206622 2206629,1066,Kobold,,ge-gap,,
kobold roundsman,1,2206607,1066,Kobold,,ge-gap,,
kobold zealot,1,2206625,1066,Kobold,,ge-gap,,
kujata,2,2100803 2200803,1008,Buffalo,,ge-gap,,
landtrap,2,2102720 2202710,1027,Flytrap,,race-name-only,,
leaping lemur,2,2200504 2200505,1005,Opo-opo,,ge-gap,,
lesser gargoyle,1,2203505,1035,Gargoyle,,ge-gap,,
loam bogy,3,2204302 2204304 2204307,1043,Ghost,,ge-gap,,
loamshell,1,2207610,1076,Crab,,ge-gap,,
loco,1,2210501,1105,チョコボ,,mount-or-companion,,
longnose gnognoroon,1,2206302,1063,Qiqirn,,ge-gap,,
longtail sebedd gah,1,2206542,1065,Amlaj'aa,,ge-gap,,
lord of swiftperch,1,2204004,1040,Rat,,ge-gap,,
lucky,1,2210510,1105,チョコボ,,mount-or-companion,Lucky,Western La Noscea
luke,1,2210511,1105,チョコボ,,mount-or-companion,Luke,Western La Noscea
lumber toad,1,2103114,1031,Gigantoad,,ge-gap,,
lump,1,2210512,1105,チョコボ,,mount-or-companion,Lump,Western La Noscea
lunatic follower,1,2280192,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
lunatic lamb,4,2280196 2280197 2280198 2280301,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
lunatic priest,1,2280193,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
lunatic shepherd,1,2280302,1803,,"the Serpent Reavers, the pirate organization sworn to the Sahagin - claw, fin and eye are its ranks, all level 45 in Mistbeard Cove - plus the tail of the lunatic cult, whose main body sits in 1801",faction-filler,,
lynx,2,2103201 2203201,1032,Couerl,,ge-gap,,
mad karakul ram,2,2106015 2106016,1060,Sheep,,ge-gap,,
