mob_name,family,resolved_flags,resolved_from,mob_page_flags,family_page_flags,sighting_flags,ge_aggressive,flags_gloss
Barometz,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Basilisk,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Bastard Mite,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Batraal,Gargoyle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Battle Drake,Drake,"A, H",family-page,,"A, H","A, P",Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Battrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Beady Beetle,Beetle,,,,,,,
Bee Cloud,Swarm,,,,,,x,
Beryl Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Biast,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Bigmouth Orobon,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Bile Gnat,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Bilge-soaked Buccaneer,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bixie,Chimera,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Black Bat,Bat,"A, H",family-page,,"A, H","A, P",x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Black Crow Cleaver,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Black Crow Swashbuckler,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Black Eft,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Black Wolf,Wolf,,,,,,Y,
Blind Eft,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Bloated Bogy,Ghost,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Bloated Burble,Snurble,P,sighting,,,P,,passive - does not attack unless engaged
Bloodied Buccaneer,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bloodshore Bell,Aurelia,P,mob-page,P,"A, H",P,,passive - does not attack unless engaged
Bloodshot Eye,Ahriman,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bloodthirsty Wolf,Wolf,P,mob-page,P,,P,,passive - does not attack unless engaged
Bloody Revenant,Ghost,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Blotched Mongrel,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Bog Yarzon,Yarzon,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Bogy,Ghost,,,,,,,
Bomb,Bomb,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bomb Baron,Bomb,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bomb Ember,Bomb,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Bone Nix,Toad,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Branded Drake,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Brimstone Bomb,Bomb,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Brine Bogy,Ghost,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Bristletail Marmot,Rodent,P,family-page,,P,,,passive - does not attack unless engaged
Brutal Sheep,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Buata,Boar,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Bumble Beetle,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Burble,Snurble,P,sighting,,,P,,passive - does not attack unless engaged
Burned Brother,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Buzzard,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Buzzing Djigga,Chigoe,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Cactuar,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Cactuar Jack,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Cactuar Jaques,Cactuar,P,family-page,,P,A,Y,passive - does not attack unless engaged
Cadaverous Cockatrice,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Canopy Galago,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Canyon Condor,Vulture,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Capricious Cassie,Morbol,"A, TH",family-page,,"A, TH",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Carrier Ladybug,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Carrion Chiglet,Chigoe,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Carrion Chigoe,Chigoe,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Cassiopeia,Aurelia,P,mob-page,P,"A, H",P,,passive - does not attack unless engaged
Cave Bat,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Cavern Eft,Salamander,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Cavernulous Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Cell Mite,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Cellar Puk,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Ceruleum Generator,Unknown,P,sighting,,,P,,passive - does not attack unless engaged
Chain Bearer,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Chiglet,Chigoe,,,,,,,
Chigoe,Chigoe,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Chinchilla,Rodent,P,family-page,,P,,,passive - does not attack unless engaged
Cinderbelly Eft,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Cliffdiver,Vulture,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Clipper,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Cloud Hippocerf,Hippogryph,"A, TH",family-page,,"A, TH",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Cochineal Cactuar,Cactuar,P,family-page,,P,,,passive - does not attack unless engaged
Cockatrice,Cockatrice,,,,,,,
Coiled Adder,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Common Cactuar,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Condor,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Copper Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Corroded Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Corrosive Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Crabfisher,Angler,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Crapulous Canine,Wolf,P,mob-page,P,,P,,passive - does not attack unless engaged
Creeping Ivy,Morbol,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Croft Kalong,Bat,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Curious Galago,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Curious Gorge,Enemy Humanoid,"A, S",family-page,,"A, S",,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Cursed Eye,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Daddy Longlegs,Yarzon,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dapper Cadaver,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Darkeye Devilet,Imp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Darkwing Devilet,Imp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Deadeyes,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Deathstroke Assassin,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Deepground Puk,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Deepvoid Pikeman,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Deepvoid Scamp,Imp,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Deepvoid Sludge,Flan,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Deepvoid Soul,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Deepvoid Warrior,Wight,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Deepvoid Watcher,Ahriman,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Deepvoid Wizard,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Delta Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Desert Peiste,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Devilet,Imp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Dew Hare,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Diamond-tooth Hedgemole,Mole,"A, H",mob-page,"A, H",P,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dire Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Dire Rat,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Diremite,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Diremite Straggler,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dirty Mongrel,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Dodo,Cockatrice,,,,,,,
Dodore,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Dodore's Minion,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Doomvoid Guivre,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Downcast Hippocerf,Hippogryph,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Downy Dunstan,Ram,P,sighting,,,P,x,passive - does not attack unless engaged
Drake Familiar,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dreadwolf,Wolf,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Dreamtoad,Toad,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Drifting Anemone,Aurelia,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Drifting Aurelia,Aurelia,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
