event_id,capture,lane_index,source_actor,destination_actor,classification,join_status,set_begin_frame,set_begin_subevent,set_end_frame,set_end_subevent,change_begin_frame,change_begin_subevent,change_end_frame,change_end_subevent,item_opcode,item_frame,item_subevent,item_record,catalog_item_id,item_slot,link_opcode,link_frame,link_subevent,link_record,equipment_slot,linked_item_slot,item_package_code,item_to_link_distance_frames,item_to_link_distance_subevents,item_to_link_distance_us,before_property_frame,before_distance_frames,before_distance_us,after_property_frame,after_distance_frames,after_distance_us,changed_property_count,repeated_aggregate_of,boundary_note
equipment-event-011,combat_autoattack.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,113,21,113,23,113,20,113,24,,,,,,,,,,,,,,,,,106,7,2478,118,5,341,1,,framed inventory set without an equipment-link carrier
equipment-event-012,combat_skills.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,74,1,74,3,74,0,74,4,,,,,,,,,,,,,,,,,69,5,1208,75,1,10,1,,framed inventory set without an equipment-link carrier
equipment-event-013,combat_skills.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,74,6,74,8,74,5,74,9,,,,,,,,,,,,,,,,,69,5,1208,75,1,10,1,,framed inventory set without an equipment-link carrier
equipment-event-014,combat_skills.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,74,11,74,13,74,10,74,14,,,,,,,,,,,,,,,,,69,5,1208,75,1,10,1,,framed inventory set without an equipment-link carrier
equipment-event-015,combat_skills.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,74,16,74,18,74,15,74,19,,,,,,,,,,,,,,,,,69,5,1208,75,1,10,1,,framed inventory set without an equipment-link carrier
equipment-event-016,combat_skills.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,74,21,74,23,74,20,74,24,,,,,,,,,,,,,,,,,69,5,1208,75,1,10,1,,framed inventory set without an equipment-link carrier
equipment-event-017,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,237,28,244,1,237,27,245,7,,,,,,,,,,,,,,,,,235,2,24,245,1,111,0,,framed inventory set without an equipment-link carrier
equipment-event-018,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,244,2,244,3,237,27,245,7,,,,,,,,,,,,,,,,,235,9,378,245,1,111,0,,framed inventory set without an equipment-link carrier
equipment-event-019,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,244,4,244,5,237,27,245,7,,,,,,,,,,,,,,,,,235,9,378,245,1,111,0,,framed inventory set without an equipment-link carrier
equipment-event-020,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,244,6,244,7,237,27,245,7,,,,,,,,,,,,,,,,,235,9,378,245,1,111,0,,framed inventory set without an equipment-link carrier
equipment-event-021,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,244,8,244,11,237,27,245,7,,,,,,,,,,,,,,,,,235,9,378,245,1,111,0,,framed inventory set without an equipment-link carrier
equipment-event-022,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,245,0,245,2,237,27,245,7,,,,,,,,,,,,,,,,,235,10,489,245,0,0,0,,framed inventory set without an equipment-link carrier
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,240,0,30,0x003DA6D5,194,0x014E,245,4,0,0,194,0,5,,337,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,241,0,23,0x007A3D64,131,0x014E,245,4,1,8,131,0,4,,240,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,1,0x007A8D79,147,0x014E,245,4,2,10,147,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,4,0x007AAE45,0,0x014E,245,4,3,9,0,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,7,0x007AD7B3,196,0x014E,245,4,4,12,196,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,8,0x007AFC65,1,0x014E,245,4,5,11,1,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,9,0x007B244A,112,0x014E,245,4,6,13,112,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,21,0x007B4DB3,197,0x014E,245,4,7,14,197,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,25,0x007B73F0,89,0x014E,245,5,0,15,89,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,30,0x008A17C4,7,0x014E,245,5,1,22,7,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-023,from_gridania_to_blackshroud.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,245,3,245,6,237,27,245,7,0x014B,242,0,31,0x008A17DA,104,0x014E,245,5,2,21,104,0,3,,227,235,10,489,245,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-024,gather_wood.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,91,1,91,3,91,0,91,4,,,,,,,,,,,,,,,,,,,,101,10,2191,0,,framed inventory set without an equipment-link carrier
equipment-event-025,gather_wood.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,96,1,96,3,96,0,96,4,,,,,,,,,,,,,,,,,,,,101,5,1256,0,,framed inventory set without an equipment-link carrier
equipment-event-026,gear_changesoul.pcapng,,,,MISSING-CARRIER,property-only-no-inventory-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"named soul capture has property traffic but no item, link, or inventory-set carrier"
equipment-event-027,gear_changeweapon.pcapng,0,actor-01,actor-01,BOUNDED-CANDIDATE,exact-same-event-item-link,14,1,14,6,14,0,14,7,0x0149,14,2,0,0x003D7E3D,79,0x014D,14,4,0,0,79,0,0,2,0,13,1,35,16,2,246,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-028,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,176,20,183,1,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,1,8,0,,framed inventory set without an equipment-link carrier
equipment-event-029,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,183,2,183,3,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,1,8,0,,framed inventory set without an equipment-link carrier
equipment-event-030,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,183,4,183,5,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,1,8,0,,framed inventory set without an equipment-link carrier
equipment-event-031,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,183,6,183,7,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,1,8,0,,framed inventory set without an equipment-link carrier
equipment-event-032,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,183,8,183,11,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,1,8,0,,framed inventory set without an equipment-link carrier
equipment-event-033,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,184,0,184,2,176,19,184,7,,,,,,,,,,,,,,,,,,,,184,0,0,0,,framed inventory set without an equipment-link carrier
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,179,0,26,0x003D7E3D,78,0x014E,184,4,0,0,78,0,5,,226,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,180,0,27,0x007A3F58,112,0x014E,184,4,1,8,112,0,4,,218,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,180,0,29,0x007A88D7,139,0x014E,184,4,2,10,139,0,4,,218,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,5,0x007AAE45,0,0x014E,184,4,3,9,0,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,8,0x007AD7B3,195,0x014E,184,4,4,12,195,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,9,0x007AFC65,1,0x014E,184,4,5,11,1,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,10,0x007B244A,111,0x014E,184,4,6,13,111,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,22,0x007B4DB3,196,0x014E,184,4,7,14,196,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,26,0x007B73F0,88,0x014E,184,5,0,15,88,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,181,0,31,0x008A17C4,7,0x014E,184,5,1,22,7,0,3,,114,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-034,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,184,3,184,6,176,19,184,7,0x014B,182,0,0,0x008A17DA,103,0x014E,184,5,2,21,103,0,2,,19,,,,184,0,0,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-035,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,846,28,853,1,846,27,854,7,,,,,,,,,,,,,,,,,187,659,251645,854,1,56,0,,framed inventory set without an equipment-link carrier
equipment-event-036,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,853,2,853,3,846,27,854,7,,,,,,,,,,,,,,,,,187,666,251878,854,1,56,0,,framed inventory set without an equipment-link carrier
equipment-event-037,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,853,4,853,5,846,27,854,7,,,,,,,,,,,,,,,,,187,666,251878,854,1,56,0,,framed inventory set without an equipment-link carrier
equipment-event-038,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,853,6,853,7,846,27,854,7,,,,,,,,,,,,,,,,,187,666,251878,854,1,56,0,,framed inventory set without an equipment-link carrier
equipment-event-039,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,853,8,853,11,846,27,854,7,,,,,,,,,,,,,,,,,187,666,251878,854,1,56,0,,framed inventory set without an equipment-link carrier
equipment-event-040,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,854,0,854,2,846,27,854,7,,,,,,,,,,,,,,,,,187,667,251934,854,0,0,0,,framed inventory set without an equipment-link carrier
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,849,0,26,0x003D7E3D,78,0x014E,854,4,0,0,78,0,5,,220,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,850,0,27,0x007A3F58,112,0x014E,854,4,1,8,112,0,4,,133,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,850,0,29,0x007A88D7,139,0x014E,854,4,2,10,139,0,4,,133,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,5,0x007AAE45,0,0x014E,854,4,3,9,0,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,8,0x007AD7B3,195,0x014E,854,4,4,12,195,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,9,0x007AFC65,1,0x014E,854,4,5,11,1,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,10,0x007B244A,111,0x014E,854,4,6,13,111,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,22,0x007B4DB3,196,0x014E,854,4,7,14,196,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,26,0x007B73F0,88,0x014E,854,5,0,15,88,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,851,0,31,0x008A17C4,7,0x014E,854,5,1,22,7,0,3,,121,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-041,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,854,3,854,6,846,27,854,7,0x014B,852,0,0,0x008A17DA,103,0x014E,854,5,2,21,103,0,2,,69,187,667,251934,854,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-042,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1320,28,1327,1,1320,27,1328,7,,,,,,,,,,,,,,,,,856,464,136651,1328,1,27,0,,framed inventory set without an equipment-link carrier
equipment-event-043,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1327,2,1327,3,1320,27,1328,7,,,,,,,,,,,,,,,,,856,471,137034,1328,1,27,0,,framed inventory set without an equipment-link carrier
equipment-event-044,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1327,4,1327,5,1320,27,1328,7,,,,,,,,,,,,,,,,,856,471,137034,1328,1,27,0,,framed inventory set without an equipment-link carrier
equipment-event-045,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1327,6,1327,7,1320,27,1328,7,,,,,,,,,,,,,,,,,856,471,137034,1328,1,27,0,,framed inventory set without an equipment-link carrier
equipment-event-046,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1327,8,1327,11,1320,27,1328,7,,,,,,,,,,,,,,,,,856,471,137034,1328,1,27,0,,framed inventory set without an equipment-link carrier
equipment-event-047,gridania_to_coerthas.pcapng,0,actor-02,actor-02,MISSING-CARRIER,no-equipment-link,1328,0,1328,2,1320,27,1328,7,,,,,,,,,,,,,,,,,856,472,137061,1328,0,0,0,,framed inventory set without an equipment-link carrier
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1323,0,26,0x003D7E3D,78,0x014E,1328,4,0,0,78,0,5,,228,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1324,0,27,0x007A3F58,112,0x014E,1328,4,1,8,112,0,4,,202,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1324,0,29,0x007A88D7,139,0x014E,1328,4,2,10,139,0,4,,202,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,5,0x007AAE45,0,0x014E,1328,4,3,9,0,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,8,0x007AD7B3,195,0x014E,1328,4,4,12,195,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,9,0x007AFC65,1,0x014E,1328,4,5,11,1,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,10,0x007B244A,111,0x014E,1328,4,6,13,111,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,22,0x007B4DB3,196,0x014E,1328,4,7,14,196,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,26,0x007B73F0,88,0x014E,1328,5,0,15,88,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1325,0,31,0x008A17C4,7,0x014E,1328,5,1,22,7,0,3,,188,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-048,gridania_to_coerthas.pcapng,0,actor-02,actor-02,AGGREGATE-SNAPSHOT,exact-prior-state-item-link,1328,3,1328,6,1320,27,1328,7,0x014B,1326,0,0,0x008A17DA,103,0x014E,1328,5,2,21,103,0,2,,128,856,472,137061,1328,0,0,0,equipment-event-034,"same-lane s2c order is correlation evidence, not causality"
equipment-event-049,harvest.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,24,1,24,3,24,0,24,4,,,,,,,,,,,,,,,,,,,,32,8,375,0,,framed inventory set without an equipment-link carrier
equipment-event-050,harvest.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,72,1,72,3,72,0,72,4,,,,,,,,,,,,,,,,,43,29,13298,79,7,309,0,,framed inventory set without an equipment-link carrier
equipment-event-051,local_leve_complete.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,501,1,501,3,501,0,501,4,,,,,,,,,,,,,,,,,461,40,17014,503,2,195,2,,framed inventory set without an equipment-link carrier
equipment-event-052,local_leve_complete.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,501,6,501,8,501,5,501,9,,,,,,,,,,,,,,,,,461,40,17014,503,2,195,2,,framed inventory set without an equipment-link carrier
equipment-event-053,local_leve_complete.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,501,11,501,13,501,10,501,14,,,,,,,,,,,,,,,,,461,40,17014,503,2,195,2,,framed inventory set without an equipment-link carrier
equipment-event-054,login.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,9,28,16,1,9,27,17,7,,,,,,,,,,,,,,,,,,,,17,1,79,0,,framed inventory set without an equipment-link carrier
