nm_jp,nm_en_client,nm_client_actor_id,nm_site_romaji,monster_family_jp,monster_family_en_client,region_en,zone_jp,zone_en_client,zone_client_place_id,location_detail_jp,habitat_raw,spawn_condition_jp,patch_implemented,remarks_jp,nm_en_note,zone_note,source
グレートバッファロー,Great Buffalo,3100801,GreatBuffalo,バッファロー,Buffalo,La Noscea,ラノシア,La Noscea,102,"（X: 6～7, Y: 11～14）","ラノシア（X: 6～7, Y: 11～14）",（エオルゼア時間）8時～20時の間,2010年12月16日実装（バージョンアップ (2010/12/16)）,通常攻撃が範囲。<br>部位損傷でに一定量のダメージを与えると転倒する。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: グレートバッファロー
シアリングシェリダン,Shearing Sheridan,3107618,ShearingSheridan,メガロクラブ,GAP,La Noscea,シュポシェの霊窟,Shposhae,1122,"（（map2） X: 5, Y: 4）","シュポシェの霊窟（（map2） X: 5, Y: 4）",数分間隔,2011年10月5日実装（パッチ1.19）,クローガードを使用後に特殊技を3連続で使用する。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: シアリングシェリダン
ジャイアントレモラ,Giant Remora,3104513,GiantRemora,オロボン,GAP,La Noscea,シュポシェの霊窟,Shposhae,1122,"（（map3） X: 5～7, Y: 5）","シュポシェの霊窟（（map3） X: 5～7, Y: 5）",数分間隔,2011年10月5日実装（パッチ1.19）,レモラ7体とPTを組んでいる。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: ジャイアントレモラ
スリプリーサイクス,Slippery Sykes,3104214,SlipperySykes,スラッグ,Slug,La Noscea,ラノシア,La Noscea,102,"（X: 38, Y: 25～26）","ラノシア（X: 38, Y: 25～26）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: スリプリーサイクス
バロメッツ,Barometz,3102720,Barometz,フライングトラップ,Flytrap,La Noscea,ラノシア,La Noscea,102,"（X: 34～35, Y: 17～18）","ラノシア（X: 34～35, Y: 17～18）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: バロメッツ
ペイトリアーク03 ズ・ガ,Third Order Patriarch Zu Ga,3106628,ThirdOrderPatriarchZuGa,コボルド,Kobold,La Noscea,ウ・ガマロ武装鉱山,U'Ghamaro Mines,1125,"（X: 7, Y: 5）","ウ・ガマロ武装鉱山（X: 7, Y: 5）",数分間隔,2011年10月5日実装（パッチ1.19）,（関連 : 攻略型フィールド『ウ・ガマロ武装鉱山』）,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: ペイトリアーク03 ズ・ガ
ボムバロン,Bomb Baron,3101612,BombBaron,ボム,Bomb,La Noscea,浮海月の巌穴,Cassiopeia Hollow,1113,"（X: 2～4, Y: 4～5）","浮海月の巌穴（X: 2～4, Y: 4～5）",数分間隔,2011年4月15日実装（パッチ1.17）,戦闘開始時から「詠唱妨害無効」のステータスがかかっている。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: ボムバロン
ローンクァール,Lone Coeurl,3103203,LoneCoeurl,クァール,Couerl,La Noscea,シュポシェの霊窟,Shposhae,1122,"（（map5） X: 5, Y: 4）","シュポシェの霊窟（（map5） X: 5, Y: 4）",（map5）にいるジャッカルパップを11体全て倒す,2011年10月5日実装（パッチ1.19）,,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: ローンクァール
アルシュ,Alux,3102611,Alux,インプ,Imp,The Black Shroud,ムントゥイ醸造庫,The Mun-Tuy Cellars,2101,"（X: 5, Y: 5）","ムントゥイ醸造庫（X: 5, Y: 5）",数分間隔,2011年4月15日実装（パッチ1.17）,戦闘開始時から「詠唱妨害無効」のステータスがかかっている。,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: アルシュ
ガーディアントレント,Guardian of the Grove,3102805,Guardianofthegrove,トレント,Treant,The Black Shroud,黒衣森,The Black Shroud,104,,黒衣森,数分間隔,2011年12月12日実装（パッチ1.20）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: ガーディアントレント
カプリシャスキャシー,Capricious Cassie,3101011,CapriciousCassie,モルボル,Morbol,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 15, Y: 41）（X: 18, Y: 40）","黒衣森（X: 15, Y: 41）（X: 18, Y: 40）",数分間隔,2011年12月12日実装（パッチ1.20）,（関連 : サブクエスト『道化の饗宴』）,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: カプリシャスキャシー
クィーングーグー,Queen Gougou,3100515,QueenGougou,オポオポ,Opo-opo,The Black Shroud,黒衣森,The Black Shroud,104,"（（橋の上） X: 16, Y: 39）（（橋の上） X: 18, Y: 39）","黒衣森（（橋の上） X: 16, Y: 39）（（橋の上） X: 18, Y: 39）",数分間隔,2011年12月12日実装（パッチ1.20）,（関連 : サブクエスト『道化の饗宴』）,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: クィーングーグー
クィーンボリート,Queen Bolete,3105915,QueenBolete,ファンガー,Funguar,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 36～37, Y: 50）","黒衣森（X: 36～37, Y: 50）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: クィーンボリート
グレートオーク,Great Oak,3102806,GreatOak,トレント,Treant,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 14, Y: 42）（X: 19, Y: 42）","黒衣森（X: 14, Y: 42）（X: 19, Y: 42）",数分間隔,2011年12月12日実装（パッチ1.20）,（関連 : サブクエスト『道化の饗宴』）,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: グレートオーク
ジャッカネイプス,Jackanapes,3100512,Jackanapes,オポオポ,Opo-opo,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 46, Y: 51）","黒衣森（X: 46, Y: 51）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: ジャッカネイプス
シロッコ,Sirocco,3100311,Sirocco,アンテロープ,Antelope,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 26～27, Y: 31～32）","黒衣森（X: 26～27, Y: 31～32）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: シロッコ
スパイトフル,Spiteful,3106221,Spiteful,スプリガン,Spriggan,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 15, Y: 41）（X: 18, Y: 40）","黒衣森（X: 15, Y: 41）（X: 18, Y: 40）",数分間隔,2011年12月12日実装（パッチ1.20）,（関連 : サブクエスト『道化の饗宴』）,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: スパイトフル
スピンディグル,Spindiggle,3106222,Spindiggle,スプリガン,Spriggan,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 18, Y: 37）","黒衣森（X: 18, Y: 37）",数分間隔,2011年12月12日実装（パッチ1.20）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: スピンディグル
パイア,Phaia,3101511,Phaia,ボア,Boar,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 29, Y: 34）","黒衣森（X: 29, Y: 34）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: パイア
ブアタ,Buata,3101513,Buata,ボア,Boar,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 14, Y: 40）（X: 19, Y: 39）","黒衣森（X: 14, Y: 40）（X: 19, Y: 39）",数分間隔,2011年12月12日実装（パッチ1.20）,（関連 : サブクエスト『道化の饗宴』）,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: ブアタ
太っ腹のホットポックス,Haughtpox Bloatbelly,3110312,HaughtpoxBloatbelly,ゴブリン,Goblin,The Black Shroud,黒衣森,The Black Shroud,104,"（X: 19～20, Y: 13）（X: 27, Y: 15）","黒衣森（X: 19～20, Y: 13）（X: 27, Y: 15）",（エオルゼア時間）8時～20時の間,2010年12月16日実装（バージョンアップ (2010/12/16)）,ゴブリンブラガドシオ2体とゴブリンバウンサー2体とPTを組んでいる。,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: 太っ腹のホットポックス
プリンスオブペスト,Prince of Pestilence,3100612,PrinceofPestilence,ナット,Gnat,The Black Shroud,ムントゥイ醸造庫,The Mun-Tuy Cellars,2101,"（X: 7, Y: 3）","ムントゥイ醸造庫（X: 7, Y: 3）",数分間隔,2011年4月15日実装（パッチ1.17）,戦闘開始時から「詠唱妨害無効」のステータスがかかっている。,,,sources/elemen-bestiary/objects/pages/NM_BlackShroud.md :: プリンスオブペスト
ウラエウス,Uraeus,3100717,Uraeus,バジリスク,Basilisk,Coerthas,クルザス,Coerthas,105,"（X: 53～54, Y: 30～34）","クルザス（X: 53～54, Y: 30～34）",（エオルゼア時間）20時～8時の間,2010年12月16日実装（バージョンアップ (2010/12/16)）,,,,sources/elemen-bestiary/objects/pages/NM_Coerthas.md :: ウラエウス
スピットファイア,Spitfire,3106209,Spitfire,スプリガン,Spriggan,Coerthas,クルザス,Coerthas,105,"（X: 49～50, Y: 35）","クルザス（X: 49～50, Y: 35）",数分間隔,2011年4月15日実装（パッチ1.17）,戦闘開始時から「詠唱妨害無効」のステータスがかかっている。<br>固体によって使用魔法の属性が異なる。,,,sources/elemen-bestiary/objects/pages/NM_Coerthas.md :: スピットファイア
ダウニーダンスタン,Downy Dunstan,3106019,DownyDunstan,シープ,Sheep,Coerthas,クルザス,Coerthas,105,"（X: 48～49, Y: 31～33）","クルザス（X: 48～49, Y: 31～33）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Coerthas.md :: ダウニーダンスタン
断頭のロゾル・トトロック,Lozol Totoloq the Decapitator,3106433,LozolTotoloqtheDecapitator,イクサル,Ixal,Coerthas,クルザス,Coerthas,105,"（X: 42, Y: 21）","クルザス（X: 42, Y: 21）",数分間隔,2011年10月14日実装（パッチ1.19a）,（関連 : 攻略型フィールド『ナタラン入植地』）,,,sources/elemen-bestiary/objects/pages/NM_Coerthas.md :: 断頭のロゾル・トトロック
ドドレ,Dodore,3101710,Dodore,アーリマン,Ahriman,Mor Dhona,モードゥナ,Mor Dhona,106,"（X: 12～16 , Y: 17～18）","モードゥナ（X: 12～16 , Y: 17～18）",天候が妖霧の間,2010年12月16日実装（バージョンアップ (2010/12/16)）,ドドレズミニオン3体とPTを組んでいる。,,,sources/elemen-bestiary/objects/pages/NM_MorDhona.md :: ドドレ
