discipline,class_jp,class_en,section_jp,section_en,name_jp,name_en_client,client_command_id,level,tp,cast,recast_time,effect_duration,equip_condition_jp,equip_condition_en,description_jp,source
land,園芸,Botanist,アクション,action,アーバーコール,Arbor Call,29811,1,-,-,15秒,-,園芸専用,Botanist only,周囲を調べ、グレード1の良木を探す。 「アーバーコール」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,トライアングレート,Triangulate,29841,3,-,-,30秒,-,園芸専用,Botanist only,現在いるエリアの地勢を鑑み、グレード1以下の良木の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「トライアングレート」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,アーバーコールII,Arbor Call II,29812,8,-,-,15秒,-,園芸専用,Botanist only,周囲を調べ、グレード2の良木を探す。 「アーバーコール」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,ステルス,Stealth,29873,8,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル20以下のモンスターの敵視から逃れる効果を付与、または解除。レベル8以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,キャノンアーム,Wrist Flick,29861,10,-,-,30秒,-,非戦闘用,non-combat use,次のつぶて打ち：追加効果スタン,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,トライアングレートII,Triangulate II,29842,10,-,-,30秒,-,園芸専用,Botanist only,現在いるエリアの地勢を鑑み、グレード2以下の良木の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「トライアングレート」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,アーバーコールIII,Arbor Call III,29813,18,-,-,15秒,-,園芸専用,Botanist only,周囲を調べ、グレード3の良木を探す。 「アーバーコール」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,ステルスII,Stealth II,29874,18,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル30以下のモンスターの敵視から逃れる効果を付与、または解除。レベル18以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,トライアングレートIII,Triangulate III,29843,20,-,-,30秒,-,園芸専用,Botanist only,現在いるエリアの地勢を鑑み、グレード3以下の良木の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「トライアングレート」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,トライアングレートIV,Triangulate IV,29844,20,-,-,30秒,-,園芸専用,Botanist only,現在いるエリアの地勢を鑑み、グレード4以下の良木の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「トライアングレート」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,アーバーコールIV,Arbor Call IV,29814,28,-,-,15秒,-,園芸専用,Botanist only,周囲を調べ、グレード4の良木を探す。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,ステルスIII,Stealth III,29875,28,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル40以下のモンスターの敵視から逃れる効果を付与、または解除。レベル28以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,トライアングレートV,Triangulate V,29845,30,-,-,30秒,-,園芸専用,Botanist only,現在いるエリアの地勢を鑑み、グレード5以下の良木の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「トライアングレート」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,アーバーコールV,Arbor Call V,29815,38,-,-,15秒,-,園芸専用,Botanist only,周囲を調べ、グレード5の良木を探す。 「アーバーコール」系でリキャストを共有,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,アクション,action,ステルスIV,Stealth IV,29876,38,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル50以下のモンスターの敵視から逃れる効果を付与、または解除。レベル38以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,フィールドマスタリー,Field Mastery,29706,10,,,,,ギャザラー専用,Disciples of the Land only,ねらったアイテムのヒット範囲＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,ストローク・オブ・ラック,Stroke of Luck,29703,15,,,,,ギャザラー専用,Disciples of the Land only,遭遇率の低いアイテムの発見率＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,ノフィカの加護,Nophica's Ward,29732,20,,,,,ギャザラー専用,Disciples of the Land only,自身の土属性が一時的に＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,ビエルゴの加護,Byregot's Ward,29735,20,,,,,ギャザラー専用,Disciples of the Land only,自身の雷属性が一時的に＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,きこりの腕,Brunt Force,29737,20,,,,,ギャザラー専用,Disciples of the Land only,自身のSTRが一時的に＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,老農の知,Ageless Words,29740,20,,,,,ギャザラー専用,Disciples of the Land only,自身のINTが一時的に＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,スエット・オブ・ブロウ,Sweat of Brow,29719,25,,,,,ギャザラー専用,Disciples of the Land only,修錬値の入手量＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,グリーンマインド,Green Mind,29722,30,,,,,ギャザラー専用,Disciples of the Land only,Remainderの減少率－。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,樹木学,Truth of Forests,29728,30,,,,,ギャザラー専用,Disciples of the Land only,Aim（アイテムをねらう）時の命中範囲＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,樹相識別,Master of Timber,29725,36,,,,,ギャザラー専用,Disciples of the Land only,クオリティの高いアイテムの入手確率＋。,class/action/~patch2.00_Botanist.html
land,園芸,Botanist,ゴッドセンド,godsend,ゴッズプリント,Fingerprints of the Gods,29742,Q （1）,,,,,ギャザラー専用,Disciples of the Land only,特定採集場所で「触媒」を発見。 サブクエスト『想いを繋ぐ力』を進行中に開眼,class/action/~patch2.00_Botanist.html
land,漁釣,Fisher,アクション,action,投擲,Throw,22113,1,-,-,5秒,-,汎用,general,武器を投げつける。 [目標にダメージ] 投擲武器を装備する,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,つぶて打ち,Stone Throw,22114,1,-,-,5秒,-,汎用,general,拾った石を投げつける。 [目標にダメージ],class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ガルアイ,Gulleye,29821,1,-,-,15秒,-,漁釣専用,Fisher only,周囲を調べ、グレード1の穴場を探す。 「ガルアイ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ダウズ,Dowse,29851,3,-,-,30秒,-,漁釣専用,Fisher only,現在いるエリアの地勢を鑑み、グレード1以下の穴場の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「ダウズ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ガルアイII,Gulleye II,29822,8,-,-,15秒,-,漁釣専用,Fisher only,周囲を調べ、グレード2の穴場を探す。 「ガルアイ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ステルス,Stealth,29873,8,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル20以下のモンスターの敵視から逃れる効果を付与、または解除。レベル8以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,キャノンアーム,Wrist Flick,29861,10,-,-,30秒,-,非戦闘用,non-combat use,次のつぶて打ち：追加効果スタン,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ダウズII,Dowse II,29852,10,-,-,30秒,-,漁釣専用,Fisher only,現在いるエリアの地勢を鑑み、グレード2以下の穴場の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「ダウズ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ガルアイIII,Gulleye III,29823,18,-,-,15秒,-,漁釣専用,Fisher only,周囲を調べ、グレード3の穴場を探す。 「ガルアイ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ステルスII,Stealth II,29874,18,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル30以下のモンスターの敵視から逃れる効果を付与、または解除。レベル18以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ダウズIII,Dowse III,29853,20,-,-,30秒,-,漁釣専用,Fisher only,現在いるエリアの地勢を鑑み、グレード3以下の穴場の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「ダウズ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ダウズIV,Dowse IV,29854,20,-,-,30秒,-,漁釣専用,Fisher only,現在いるエリアの地勢を鑑み、グレード4以下の穴場の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「ダウズ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ガルアイIV,Gulleye IV,29824,28,-,-,15秒,-,漁釣専用,Fisher only,周囲を調べ、グレード4の穴場を探す。 「ガルアイ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ステルスIII,Stealth III,29875,28,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル40以下のモンスターの敵視から逃れる効果を付与、または解除。レベル28以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ダウズV,Dowse V,29855,30,-,-,30秒,-,漁釣専用,Fisher only,現在いるエリアの地勢を鑑み、グレード5以下の穴場の数と位置を予測する。それらの距離が遠かった場合、クイックが発動する。 「ダウズ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ガルアイV,Gulleye V,29825,38,-,-,15秒,-,漁釣専用,Fisher only,周囲を調べ、グレード5の穴場を探す。 「ガルアイ」系でリキャストを共有,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,アクション,action,ステルスIV,Stealth IV,29876,38,-,-,-,-,ギャザラー専用,Disciples of the Land only,レベル50以下のモンスターの敵視から逃れる効果を付与、または解除。レベル38以下で使用可能。 ステルス効果中は、移動速度が低下 ステルス効果中は、クイック等の速度上昇効果は無効 都市の中やダンジョンの中では使用不可,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,ベテラントレード,Veteran Trade,29707,10,,,,,ギャザラー専用,Disciples of the Land only,ねらったアイテムのヒット範囲＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,ネイチャーバウンティ,Nature's Bounty,29704,15,,,,,ギャザラー専用,Disciples of the Land only,遭遇率の低いアイテムの発見率＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,リムレーンの加護,Llymlaen's Ward,29733,20,,,,,ギャザラー専用,Disciples of the Land only,自身の風属性が一時的に＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,サリャクの加護,Thaliak's Ward,29734,20,,,,,ギャザラー専用,Disciples of the Land only,自身の水属性が一時的に＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,海人の敏,Deft Grasp,29738,20,,,,,ギャザラー専用,Disciples of the Land only,自身のDEXが一時的に＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,船乗りの信,Tidal Faith,29741,20,,,,,ギャザラー専用,Disciples of the Land only,自身のPIEが一時的に＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,ウェイ・オブ・プレンティ,Way of Plenty,29717,25,,,,,ギャザラー専用,Disciples of the Land only,Remainderの値＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,クレバーアーチ,Clever Arc,29723,30,,,,,ギャザラー専用,Disciples of the Land only,Remainderの減少率－。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,海洋学,Truth of Seas,29729,30,,,,,ギャザラー専用,Disciples of the Land only,アイテム獲得時、クリスタルを100%入手。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,魚影識別,Master of Fish,29726,36,,,,,ギャザラー専用,Disciples of the Land only,クオリティの高いアイテムの入手確率＋。,class/action/~patch2.00_Fisher.html
land,漁釣,Fisher,ゴッドセンド,godsend,ゴッズプリント,Fingerprints of the Gods,29742,Q （1）,,,,,ギャザラー専用,Disciples of the Land only,特定採集場所で「触媒」を発見。 サブクエスト『想いを繋ぐ力』を進行中に開眼,class/action/~patch2.00_Fisher.html
